logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 1.000000000000000000e+03 -1.419639960423687994e+08 -1.419640029506240487e+08 5.040000000000000036e-01
-1.419640029506240487e+08 nan -1.000000000000000021e-03 1.000000000000000000e+03 -1.250782762878942788e+08 -1.250782831971495152e+08 7.299999999999999822e-01
-1.250782831971495152e+08 nan -2.000000000000000042e-03 1.000000000000000000e+03 -1.237347575494434237e+08 -1.237347644596986622e+08 1.018000000000000016e+00
-1.237347644596986622e+08 5.817599898864924908e+05 -3.000000000000000062e-03 1.000000000000000000e+03 -1.191481491238816977e+08 -1.191481560351369381e+08 7.680000000000000160e-01
-1.191481560351369381e+08 2.418706568811266683e+06 -4.000000000000000083e-03 1.000000000000000000e+03 -1.167297239898308665e+08 -1.167297309020861089e+08 1.262000000000000011e+00
-1.167297309020861089e+08 2.034504455316068372e+06 -5.000000000000000104e-03 1.000000000000000000e+03 -1.098508842254834175e+08 -1.098508911387386620e+08 8.219999999999999529e-01
-1.098508911387386620e+08 3.464885633673919830e+06 -6.000000000000000125e-03 1.000000000000000000e+03 -1.058963186557152569e+08 -1.058963255699704885e+08 1.519999999999999962e-01
-1.058963255699704885e+08 4.573069048184647225e+06 -7.000000000000000146e-03 1.000000000000000000e+03 -1.049029693445929736e+08 -1.049029762598482072e+08 1.000000000000000000e+00
-1.049029762598482072e+08 4.025295820355675649e+06 -8.000000000000000167e-03 1.000000000000000000e+03 -1.001695255519264489e+08 -1.001695324681816846e+08 9.439999999999999503e-01
-1.001695324681816846e+08 2.463448448338494170e+06 -9.000000000000001055e-03 1.000000000000000000e+03 -9.942301181243084371e+07 -9.942301872968608141e+07 9.879999999999999893e-01
-9.942301872968608141e+07 2.637383666759120766e+06 -1.000000000000000194e-02 1.000000000000000000e+03 -9.886076579052484035e+07 -9.886077270878008008e+07 1.048000000000000043e+00
-9.886077270878008008e+07 2.213895324969276786e+06 -1.100000000000000283e-02 1.000000000000000000e+03 -9.116796794665174186e+07 -9.116797486590698361e+07 1.183999999999999941e+00
-9.116797486590698361e+07 3.331079228161411360e+06 -1.200000000000000372e-02 1.000000000000000000e+03 -9.007228123259635270e+07 -9.007228815285159647e+07 1.532000000000000028e+00
-9.007228815285159647e+07 2.408181790016372688e+06 -1.300000000000000461e-02 1.000000000000000000e+03 -8.228327888484607637e+07 -8.228328580610130727e+07 9.659999999999999698e-01
-8.228328580610130727e+07 3.958189317183284555e+06 -1.400000000000000550e-02 1.000000000000000000e+03 -8.109021821935145557e+07 -8.109022514160668850e+07 1.947999999999999954e+00
-8.109022514160668850e+07 3.845679407138632145e+06 -1.500000000000000638e-02 1.000000000000000000e+03 -8.058427025340116024e+07 -8.058427717665639520e+07 2.620000000000000107e-01
